Guid	Path	Original	PL	EN	RU
c0b98bed-315d-4d10-a33a-d4d2db6cce63			Stwórz trzy zmienne i przypisz im wartości $5 10 15$. Następnie stwórz zmienną $result$, która będzie sumą tych zmiennych i podziel ją przez $3$, w ten sposób dostaniemy średnią z danych liczb.	Create three variables and assign them $ 5 10 15 $. Then create a variable $ result $, which will be the sum of these variables and divide it by $ 3 $, in this way we will get the average of the given numbers.	Создайте три переменные и присвойте им $ 5 10 15 $. Затем создайте переменную $ result $, которая будет суммой этих переменных, и разделите ее на $ 3 $, таким образом, мы получим среднее значение данных чисел.
6e9b5222-8fcc-43fe-beeb-811d38cf8e3e			Poznajmy bardzo przydatną w programowaniu operację matematyczną, a mianowicie $modulo$, czyli reszta z dzielenia. Dla przykładu $20 % 3 = 2$ ($20 - (6 * 3) = 2$).	Let's learn a very useful mathematical operation in programming, which is $ modulo $ that returns the remainder of division. For example, $ 20% 3 = $ 2 ($ 20 - (6 * 3) = $ 2).	Давайте изучим очень полезную математическую операцию в программировании, которая является $ modulo $, которая возвращает остаток от деления. Например:, $ 20% 3 = $ 2 ($ 20 - (6 * 3) = $ 2).
59f18305-4bf2-4616-b95b-3c4f58c1dffc			Oblicz resztę z dzielenia $modulo$ z liczb $8394$ i $28$.	Using $ modulo $ calculate the remainder of dividing the numbers $ 8394 $ and $ 28.	Вычислите остаток от деления по модулю $ 8394 $ и $ 28.
68a39ae0-d7af-4ec9-8deb-8ffd3144d771			Oblicz resztę z dzielenia liczb $52940$ i $93$.	Using $ modulo $ calculate the remainder of the dividing the numbers $ 52940 $ and $ 93 $.	Подсчитайте остаток от деления чисел $ 52940 $ и $ 93 $.
fff62703-6aa4-4bb2-9562-865c1d401dde			Zasady działania na zmiennych. Działanie przypisania oznaczane $=$ przypisuje wartość po prawej stronie do wartości po lewej stronie.	Operating principles on variables. Assignment operation labeled $ = $ assigns the value on the right side to the value on the left side of equals sign.	Принципы работы с переменными. Операция присваивания с меткой $ = $ присваивает значение справа значению слева от знака равенства.
f7c23bdd-cb92-45df-bde5-9545dc5f1a87			Wzorując się na poprzednim przykładzie, pomnóż przez dwa zmienną $a = 2$ pięć razy nowo poznanymi sposobami. Każdy wynik wypisz.	Based on the previous example, multiply by $ 2 $ the variable $ a = 2 $ five times using new methods. Print each result.	Основываясь на предыдущем примере, умножьте на $ 2 $ переменную $ a = 2 $ пять раз, используя новые методы. Выведите каждый результат.
0e394f6b-4ab8-4112-b2f0-d8bf60ededd4			Czysta lekcja do przećwiczenia nowo poznanej wiedzy z kursu.	A clean lesson to practice newly learned knowledge of the course.	Чистый урок, чтобы практиковать новые знания курса.
50d24f58-156a-4277-88b5-91a646577353			Czysta lekcja do przećwiczenia nowo poznanej wiedzy z kursu.	A clean lesson to practice newly learned knowledge of the course.	Чистый урок, чтобы практиковать новые знания курса.
a6ef3a8d-922c-44a0-9937-3835d739f6f5			Czysta lekcja do przećwiczenia nowo poznanej wiedzy z kursu.	A clean lesson to practice newly learned knowledge of the course.	Чистый урок, чтобы практиковать новые знания курса.
eebe8cb6-eb89-4bef-8a4e-a3139771aa60			W niektórych zadaniach otrzymamy dane wejściowe, które będziemy musieli wykorzystać do naszego zadania. Znajdują się one w panelu $input$ po prawej stronie. By z nich korzystać musimy użyć listy, o nazwie $input$.	In some tasks we will receive input data which we will have to use for our task. They are located in the $ input $ panel on the right. To use them, we must use a list called $ input $.	В некоторых задачах мы получим входные данные, которые нам придется использовать для нашей задачи. Они расположены на панели $ input $ справа. Чтобы использовать их, мы должны использовать список с именем $ input $.
98aab8ef-f5e1-4ea6-9f12-5ca95239adc5			Wypisz za pomocą listy $input$ daną liczbę na wejściu.	Use the $ input $ list to write the number at the input.	Используйте список $ input $, чтобы написать число на входе.
2782cc08-c3c0-4f22-91b9-7165cc54f58e			Stwórz zmienną $a = 17$. Następnie od liczby podanej na wejściu odejmij ją i wypisz wynik.	Create a variable $ a = 17 $. Then subtract it from the number given in the input and print the result.	Создайте переменную $ a = 17 $. Затем вычтите его из числа, указанного во входных данных, и выведите результат.
35b45314-52e8-4ba2-84bb-0b0f3f9ff3f6			Pomnóż przez $2$ liczbę podaną na wejściu i wypisz wynik.	Multiply by $ 2 $ the number given in the input and write the result.	Умножьте на $ 2 $ число, указанное во входных данных, и запишите результат.
64809a22-d907-403d-a15c-74f9f1375ef9			Oblicz resztę z dzielenia z danej liczby na wejściu przez $54$ i wypisz wynik.	Calculate the remainder of dividing the given number at the input by $ 54 $ and print the result.	Вычислите остаток от деления заданного числа на входе на $ 54 $ и выведите результат.
11c53e9a-48e8-4190-bd39-eed06c0bdb82			Dzięki indeksowaniu listy $input$ możemy wypisać konkretną wartość z danych wejściowych. Przy użyciu $print(input)$ możemy wypisać całą listę. Ważna informacja - w $python$ jak i w wielu innych językach programowania indeksujemy od $0$, czyli pierwszym elementem jest indeks zero, drugim elementem jest indeks jeden itd.	By indexing the $ input $ list, we can write a specific value from the input. Using $ print (input) $ we can print the entire list. Important information - in $ python $ and in many other programming languages ​​we index from $ 0 $, i.e. the first element is zero, the second element is index one, etc.	Индексируя список $ input$, мы можем записать определенное значение из входных данных. Используя $ print (input)$, мы можем распечатать весь список. Важная информация - в $ python $ и во многих других языках программирования мы индексируем от $ 0 $, то есть первый элемент равен нулю, второй элемент является индексом один и т. д.
e43a917e-0779-44cd-b303-61077ccd399d			Za pomocą indeksowania, wypisz co drugą cyfrę z danych wejściowych przy użyciu listy $input$ i funkcji $print$.	Using indexing, print every second digit from the input using the $ input $ list and the $ print $ function.	Используя индексацию, выведите каждую вторую цифру из входных данных с помощью списка $ input $ и функции $ print$.
37d3574b-4ac2-4fb6-a1af-82d8785a1f3e			Mając podane dwie cyfry na wejściu, dodaj je za pomocą listy $input$ i wypisz je funkcją $print$.	With the two digits entered, add them using the $ input $ list and print them with the $ print $ function.	С двумя числами, данными на входе, добавьте их, используя список $ input $, и напечатайте их, используя функцию $ print $.
5297cf24-6336-4b6e-ad96-1d80c2672556			Oblicz różnicę pierwszej liczby oraz wyniku, uzyskanego wcześniej poprzez zsumowanie liczby drugiej z trzecią.	Calculate the difference of the first number and the result obtained earlier by adding the second number to the third.	Рассчитайте разницу первого числа и результата, полученного ранее, добавив второе число к третьему.
d0167705-04de-464e-99b4-7cd15de1c57b			Oblicz resztę z dzielenia z dwóch podanych na wejściu liczb.	Calculate the remainder of the division of the two numbers given at the input.	Рассчитайте остаток от деления двух чисел, указанных на входе.
457f01a1-cd6b-46fc-9dcf-7ab78e26e860			Mając na wejściu trzy cyfry zsumuj dwie pierwsze, następnie pomnóż ich sumę przez trzecią podaną cyfrę i wypisz wynik.	With three digits input, add the first two digits, then multiply their sum by the third digit provided and print the result.	При вводе трех цифр добавьте первые две цифры,затем умножьте их сумму на третью цифру и выведите результат.
751eb42c-7516-400d-b0db-a0e55c2e3cf9			Pomnóż trzy podane cyfry na wejściu i wypisz ich wynik.	Multiply the three given numbers at the input and print their result.	Умножьте три заданных числа на входе и выведите их результат.
cb834e2d-a526-4284-97a6-29665f3614ba			Lista $input$ nie zawsze musi być liczbą, w tym przykładzie przedstawimy ją jako zdanie.	The $ input $ list does not always have to be a number, in this example we will present it as a sentence.	Список $ input $ не всегда должен быть числом, в этом примере мы представим его как предложение.
c054d449-46ff-4595-a4e2-a6e434f6b2ca			Wypisz dane słowa na wejściu, jako jedną linijkę. Aby dodać przerwę między słowami musimy dodać przerwę między nimi w ten sposób: $print(x + ' ' + y)$.	Print the given word at the input as one line. To add a break between words we must add a break between them like this: $ print (x + ' ' + y) $.	Вывести указанное слово на входе одной строкой. Чтобы добавить разрыв между словами, нам нужно добавить разрыв между ними следующим образом: $ print (x + '' + y) $.
7a90a19e-7e4c-4b22-ac4e-850b1ce858d3			Połącz podane słowa na wejściu w jeden wyraz, używając funkcji $print$ i listy $input$.	Combine the words you enter into one word using the $ print $ function and the $ input $ list.	Объедините введенные слова в одно слово, используя функцию $ print $ и список $ input $.
e4e4de46-3784-4fb6-b5cc-296dcc28700b			Wypisz wszystkie słowa na wejściu za pomocą listy $input$.	List all the words at the input using the $ input $ list.	Перечислите все слова на входе, используя список $ input $.
0ee87050-89f7-4477-8c0d-52394c9cb599			Czysta lekcja do przećwiczenia nowo poznanej wiedzy z kursu.	A clean lesson to practice newly learned knowledge of the course.	Чистый урок, чтобы практиковать новые знания курса.
7450b6b5-6052-4093-8549-31f986ed159e			Czysta lekcja do przećwiczenia nowo poznanej wiedzy z kursu.	A clean lesson to practice newly learned knowledge of the course.	Чистый урок, чтобы практиковать новые знания курса.
e6da7326-87c0-4ca4-86c0-35eefe852635			Czysta lekcja do przećwiczenia nowo poznanej wiedzy z kursu.	A clean lesson to practice newly learned knowledge of the course.	Чистый урок, чтобы практиковать новые знания курса.
7bc44780-38a6-4524-a37c-760f92beb9b7			W języku $Python$ istnieją trzy typy danych: $int$ (integer) - liczba całkowita, $float$ - liczba zmiennoprzecinkowa i $string$ - łańcuch znaków.	There are three types of data in $ Python $: $ int $ (integer) - integer, $ float $ - floating point number and $ string $ - string.	В $ Python $ есть три типа данных: $ int $ (целое число) - целое число, $ float $ - число с плавающей запятой и $ string $ - строка.
597d2a73-b819-4d25-a33f-b74f19e81ce5			Pierwszym typem, który poznamy jest $integer$, czyli liczba całkowita.	The first type we will know is $ integer $, which is an integer.	Первый тип, который мы будем знать, это $ integer $, который является целым числом.
afa6d687-b735-4c6f-a942-e832cb141976			Czasami w zadaniach potrzeba przekonwertować rodzaj zmiennych. Dobrym przykładem jest liczenie średniej z wielu liczb, czasami otrzymamy bardzo długą liczbę zmiennoprzecinkową. Możemy ją skrócić konwertując ją na liczbę całkowitą, jak w tym przykładzie.	Sometimes in tasks you need to convert the type of variables. A good example is counting the average of many numbers, sometimes we get a very long floating-point number. We can shorten it by converting it to an integer, as in this example.	Иногда в задачах нужно конвертировать тип переменных. Хорошим примером является подсчет среднего из многих чисел, иногда мы получаем очень длинное число с плавающей запятой. Мы можем сократить его, преобразовав его в целое число, как в этом примере.
9cdc67b3-5d55-466a-8b65-d590090acb74			Kolejnym typem danych będzie $float$, czyli liczba zmiennoprzecinkowa.	The next data type will be $ float $, which is a floating point number.	Следующий тип данных будет $ float $, который является числом с плавающей запятой.
7084fa61-ca2d-4e3b-b437-dd03c3bab072			W celu obliczenia ilorazu, musimy przekonwertować liczbę całkowitą na zmiennoprzecinkową.	To calculate the quotient, we must convert the integer to a floating point.	Чтобы вычислить частное, нам нужно преобразовать целое число в число с плавающей запятой.
d668f9f6-3a2d-494a-9cce-853e0e5f2eb5			Mając dane dwie liczby na wejściu, wypisz ich iloraz tak, by zachować wartość po przecinku.	Given two numbers at the input, write their quotient to keep the decimal value.	Учитывая два числа на входе, напишите их частное, чтобы сохранить десятичное значение.
1db56606-68d1-44f4-95b8-6349b9e85ef7			Mając na wejściu dwie liczby, wykonaj sumę, a następnie wypisz ją jako liczbę całkowitą	With two numbers at the input, make a sum and then print it as an integer.	С двумя числами на входе, составьте сумму, а затем напечатайте ее в виде целого числа.
bf47df11-5e54-48a2-af85-848036cd4fc8			Ostatnim typem danych jest $string$, czyli łańcuch znaków. Jest to zbiór pojedynczych liter, liczb bądź znaków specjalnych. Możemy komentować nasz kod znakiem $#$, dzięki temu dana linijka kodu się nie wykona, a my możemy zapisać potrzebne dla nas informacje lub uwagi.	The last data type is $ string $, which is a string. It is a collection of single letters, numbers or special characters. We can comment on our code with the $ # $ sign, thanks to which the given line of code will not execute, and we can save the information or comments we need.	Последний тип данных - $ string $, который является строкой. Это набор из отдельных букв, цифр или специальных символов. Мы можем комментировать наш код со знаком $ # $, благодаря чему данная строка кода не будет выполняться, и мы можем сохранить необходимую информацию или комментарии.
039f8b7a-bf70-4f36-a24a-358fd57b2127			Złącz podane na wejściu litery w wyraz i wypisz go.	Join the letters at the input into a word and display it.	Соедините буквы при вводе в слово и напишите его.
6907dfba-adb1-4836-80d9-a7db8b9fc2ba			Aby wypisać dany wynik przy użyciu $print$, musimy się zdecydować na jeden typ danych. W tym przypadku konwertujemy $string$ na liczbę całkowitą, by móc wypisać dane liczby jako datę.	To display a given result using $ print $, we need to decide on one data type. In this case, we convert $ string $ to an integer to display the number as a date.	Чтобы отобразить заданный результат с помощью $ print $, нам нужно выбрать один тип данных. В этом случае мы преобразуем $ string $ в целое число для отображения числа в виде даты.
8638d960-e2cd-43ea-bd88-929d0dea287e			Złącz dane liczby wejściowe tak, aby otrzymać liczbę czterocyfrową i wypisz ją.	Combine the input number data to obtain a four-digit number and display it.	Соедините введенные числа, чтобы получить четырехзначное число и  отобразить его.
034f03d3-f017-4229-8b20-c4b8bc381ee3			W tym przykładzie typem zmiennej użytej jest łańcuch znaków ($string$). Dzięki temu możemy złączyć dane zmienne i wypisać je, jako pełne zdanie.	In this example, the type of variable used is the string ($ string $). Thanks to this, we can combine variable data and display it as a complete sentence.	В этом примере тип используемой переменной - строка ($ string $). Благодаря этому мы можем объединить переменные данные и записать их как законченное предложение.
9c41c8e3-dff9-4855-9a8e-782a5010b0de			Dzięki funkcji $len()$ możemy w łatwy sposób poznać długość danego ciągu znaków. W tym przykładzie dzięki tej funkcji możemy sprawdzić z ilu znaków składa się zmienna o wartości $PixBlocks!$	Using the $ len () $ function we can easily know the length of a given string. In this example, thanks to this function we can check how many characters the variable with the value $ PixBlocks! $ Consists.	Благодаря функции $ len () $ мы можем легко определить длину заданной строки. В этом примере, благодаря этой функции мы можем проверить, сколько символов содержит переменная со значением $ PixBlocks! $
bd52e2a4-b142-4bb4-be54-64876b1fb0cd			Czysta lekcja do przećwiczenia nowo poznanej wiedzy z kursu.	A clean lesson to practice newly learned knowledge of the course.	Чистый урок, чтобы практиковать новые знания курса.
0a47cf7d-c90c-45bc-a835-dba211dd8cdf			Czysta lekcja do przećwiczenia nowo poznanej wiedzy z kursu.	A clean lesson to practice newly learned knowledge of the course.	Чистый урок, чтобы практиковать новые знания курса.
bda14459-decb-44bb-bf6c-d0f7070336ce			Czysta lekcja do przećwiczenia nowo poznanej wiedzy z kursu.	A clean lesson to practice newly learned knowledge of the course.	Чистый урок, чтобы практиковать новые знания курса.
df4082b4-302d-433a-af27-57a8eb54e1b8			Poznajmy nową metodę w PixBlocks, jest nią $message.show$. Dzięki niej możemy pytać użytkownika o liczbę, bądź słowa i użyć ich, jako naszej zmiennej w zadaniach.	Let's get to know the new method. It is $ message.show $. Thanks to it, we can ask the user for a number or words and use them as our variable in tasks.	Давайте познакомимся с новым методом в PixBlocks, это $ message.show $. Благодаря этому мы можем запросить у пользователя число или слова и использовать их в качестве нашей переменной в задачах.
c1bbb071-d434-4248-9e86-1ca071fcc82f			Dzięki przypisaniu danej metody $message.show$ do zmiennej $variable$ możemy użyć liczby danej przez użytkownika. Jeśli podamy literę lub słowo wystąpi błąd, dlatego że ściśle określiliśmy, by dana zmienna była liczbą.	By assigning the given method $ message.show $ to the variable $ variable $ we can use the number given by the user. If we give a letter or word, an error occurs because we have strictly specified that the variable should be a number.	Присваивая данный метод $ message.show $ переменной $ variable $, мы можем использовать число, данное пользователем. Если мы вводим букву или слово, возникает ошибка, потому что мы строго указали, что переменная должна быть числом.
6cbe5d97-8166-40d9-86bb-f596f5b7970f			Dzięki metodzie $message.show$ możemy napisać prosty kalkulator, którego zadaniem będzie dodanie liczb podanych przez użytkownika.	Thanks to the $ message.show $ method, we can write a simple calculator adding numbers provided by the user.	Благодаря методу $ message.show $ мы можем написать простой калькулятор, задачей которого будет добавление чисел, предоставленных пользователем.
a0d8c89f-3851-4efb-8bd2-52bd9cf71f05			Tutaj natomiast mamy przykład mnożenia bazując na poprzednim przykładzie.	Here, on the other hand, we have an example of multiplication based on the previous example.	Здесь, однако, у нас есть пример умножения на основе предыдущего примера.
92b482e3-5583-4077-8f9c-5b9ba0f9fdef			Metodę $message.show$ możemy użyć wielokrotnie. W tym przykładzie używamy jej aż trzy razy, by obliczyć iloczyn liczb podanych przez użytkownika.	We can use the $ message.show $ method many times. In this example, we use it up to three times to calculate the product of the numbers given by the user.	Мы можем использовать метод $ message.show $ много раз. В этом примере мы используем его до трех раз, чтобы вычислить произведение чисел, заданных пользователем.
645b97c3-0315-49ef-bb61-fc08d6968f10			Wykorzystywanie $message.show$ ze słowami.	Using $ message.show $ with words.	Использование $ message.show $ со словами.
1f886699-c277-4280-996b-52f7d811a55d			Możemy zapoczątkować sztuczną rozmowę z komputerem. Tutaj pyta nas o imię.	We can initiate an artificial conversation with the computer. Here it asks your name.	Мы можем начать искусственный разговор с компьютером. Здесь он просит у нас имя.
2e90789c-c1db-4459-9eeb-fb632a3329c2			Udoskonalamy nasz program pytający o imię z poprzedniego przykładu (dodajmy pytanie o wiek).	We are improving our program from the previous example (let's add a question about age).	Мы улучшаем нашу программу из предыдущего примера (давайте добавим вопрос о возрасте).
0df2b0b1-b7d5-4ec0-9bce-4f4d226cf956			Uświadom komputer, jaki mamy dziś dzień.	Make computer aware of what day it is now.	Пусть компьютер знает, какой сегодня день.
c5341ebf-3142-4290-bd1c-3fe177d992dd			Czysta lekcja do przećwiczenia nowo poznanej wiedzy z kursu.	A clean lesson to practice newly learned knowledge of the course.	Чистый урок, чтобы практиковать новые знания курса.
4e5b122d-5edc-4d3a-8abe-c511b4e421a7			Czysta lekcja do przećwiczenia nowo poznanej wiedzy z kursu.	A clean lesson to practice newly learned knowledge of the course.	Чистый урок, чтобы практиковать новые знания курса.
4e1da6ca-a0b8-4c39-b51a-8dd981c6bf3a			Czysta lekcja do przećwiczenia nowo poznanej wiedzy z kursu.	A clean lesson to practice newly learned knowledge of the course.	Чистый урок, чтобы практиковать новые знания курса.
22781eed-a70b-495a-b149-8538bc11f160			Poznajmy pętle $for$, dzięki niej jesteśmy w stanie wykonać daną czynność określoną liczbę razy. W tym przykładzie, wypiszemy zmienną $i$ dziesięć razy.	Let's get to know the $ for $ loop, thanks to which we are able to perform a given action a specified number of times. In this example, we will print the variable $ and $ ten times.	Давайте познакомимся с циклом $ for $, благодаря которому мы можем выполнить данное действие определенное количество раз. В этом примере мы выведем переменную $ and $ десять раз.
44161ce8-f40f-478c-b0b8-1babd6d9783e			Korzystając z pętli $for$ wypisz liczby z zakresu od $1$ do $5$.	Using a $ for $ loop, print numbers spanning from $ 1 $ to $ 5 $.	Используя цикл $ for $, выведите числа от $ 1 $ до $ 5 $.
78f41de4-13f7-490f-ab78-f5671a51508e			Korzystając z pętli $for$ wypisz liczby z zakresu od $1$ do $20$. Aby przyspieszyć wypisywanie danych, możemy użyć suwaka tuż obok przycisku $play$.	Using a $ for $ loop, print numbers spanning from $ 1 $ to $ 20 $. To speed up the data output, we can use the slider next to the $ play $ button.	Используя цикл $ for $, выведите числа в диапазоне от $ 1 $ до $20$. Чтобы ускорить вывод данных, мы можем использовать ползунок рядом с кнопкой $ play$.
cb0393f3-d82e-4b05-aaf3-26de78846b82			Pętla $for$ nie służy tylko do wypisywania cyfr, możemy także jej użyć do wypisywania słów, w tym przykładzie jest to słowo $Hello$.	The $ for $ loop is not only used to print numbers, we can also use it to print words, in this example it is the word $ Hello $.	Цикл $ for $ используется не только для печати чисел, мы также можем использовать его для печати слов, в данном примере это слово $ Hello $.
33954ebf-e9c0-476a-bba7-220c020f8e44			Korzystając z danej wejściowej i listy $input$ wypisz daną ilość razy słowo $PixBlocks$.	Using the input data and the $ input $ list, display the given number of time the word $ PixBlocks $.	Используя входные данные и список $ input $, напишите слово $ PixBlocks $ указанное количество раз.
c26d7ee8-e5e7-4fdf-b81e-c6205ca56b16			Pierwsza dana wejściowa to zakres pętli, wypisz drugą podaną liczbę dokładnie tyle razy.	The first input is the loop range. Display the second given number exactly as many times.	Первый вход - это диапазон цикла, выведите второе заданное число ровно столько раз.
5e815fd5-3ee3-4a1f-8fa2-fc4f1e468f5d			Wypisz słowo $Hello$ daną ilość razy podaną na wejściu, a następnie $Goodbye$ dokładnie tyle samo.	Write the word $ Hello $ the given number of time, and then $ Goodbye $ exactly the same.	Напишите слово $ Hello $ указанное количество раз, указанное на входе, а затем $ Goodbye $ точно так же.
790c103e-f84b-489f-b877-f37372684ad1			Dzięki pętli $for$ możemy w szybki sposób policzyć kolejne potęgi dwójki. Operacja na zmiennej $result$ wykona się dokładnie tyle razy co zakres podany w $for$.	With the $ for $ loop, we can quickly count the next two powers. The operation on the $ result $ variable will be performed exactly as many times as the range given in $ for $.	Благодаря циклу $ for $ мы можем быстро сосчитать следующие две степени. Операция с переменной $ result $ будет выполнена ровно столько раз, сколько указано в $ for $.
39847247-d751-4fb2-812e-1462247d5384			Oblicz kolejne potęgi trójki. Stopień potęgi jest podany na wejściu.	Calculate the next powers of three. The degree of power is given at the input.	Рассчитайте следующие степени трех. Степень мощности указана на входе.
98e1c5af-30b8-409a-a84d-c7cfa7b563bc			Czysta lekcja do przećwiczenia nowo poznanej wiedzy z kursu.	A clean lesson to practice newly learned knowledge of the course.	Чистый урок, чтобы практиковать новые знания курса.
f9df3d81-3c07-4bd0-87da-ac0cc07c5987			Czysta lekcja do przećwiczenia nowo poznanej wiedzy z kursu.	A clean lesson to practice newly learned knowledge of the course.	Чистый урок, чтобы практиковать новые знания курса.
b0200ec6-8171-49c5-9824-ca5b4ec41cd0			Czysta lekcja do przećwiczenia nowo poznanej wiedzy z kursu.	A clean lesson to practice newly learned knowledge of the course.	Чистый урок, чтобы практиковать новые знания курса.
7cd0912c-2713-45cf-b846-59935a9ba8f3			Przyszedł czas na trudniejsze zastosowanie pętli $for$, oto jedno z nich, tworzenie piramidy.	The time has come for a more difficult application of the $ for $ loop, here is one of them - creating a pyramid.	Пришло время для более сложного использования цикла $ for $, вот один из них, создающий пирамиду.
7a256d4f-4903-4278-9821-ef429e91926d			Pętla $for$ może zawierać dodatkowe argumenty, w tym przypadku jest to zakres od do. Dana pętla wykona się od $5$ do $9$.	The $ for $ loop may contain additional arguments, in this case it is the range “from to”. The loop will run from $ 5 $ to $ 9 $.	Цикл $ for $ может содержать дополнительные аргументы, в этом случае диапазон от до. Цикл будет работать от 5 до 9 долларов.
54fee2f9-3543-4ef8-9d7e-bdd42b7f5fc0			Napisz pętle, która wypisze liczby od $15$ do $34$.	Write a loop that displays numbers spanning from $ 15 $ to $ 34 $.	Напишите цикл, который отображает числа, охватывающие от $ 15 $ до $34$.
60397c7e-a972-4056-ba3c-c52f04c1c20a			Napisz program, który dla $10$ kolejnych liczb naturalnych wypisze sumę poprzedników.	Write a program that will display the sum of its predecessors for $ 10 $ consecutive natural numbers.	Напишите программу, которая будет отображать сумму своих предшественников для $ 10 $ последовательных натуральных чисел.
8e3ea85a-f958-466d-ae23-c542a8866de0			Napisz program, który dla $10$ kolejnych liczb naturalnych wypisze ich wartość do sześcianu.	Write a program that will display cubed value for $ 10 $ consecutive natural numbers.	Напишите программу, которая будет отображать кубическое значение для $ 10 $ последовательных натуральных чисел.
34a5facd-3280-45eb-9a52-4f3afb3f08ea			Naszym zakresem pętli może być także lista $input$ podana na wejściu.	Our loop range can also be the $ input $ list given on the input.	Наш диапазон цикла также может быть списком $ input $, указанным на входе.
4d63e7ee-0923-41f8-803f-8ab51f3c5a04			Wypisz podaną na wejściu liczbę razy słowo $PixBlocks$.	Print word $ PixBlocks $ given on the input number of times.	Выведите слово $ Pix Blocks $ заданное на входе количество раз.
adab3781-9881-4387-afa1-7c8fdd91ba9c			W taki sposób możemy zrobić połowę piramidy z przykładu numer 1.	In this way we can make half the pyramid from example 1.	Таким образом, мы можем сделать половину пирамиды из примера № 1.
8f72d612-29c4-48a6-b5ed-e9376f1a309f			Za pomocą pętli $for$ stwórz trzy połówki piramid jak w poprzednim przykładzie.	Use the $ for $ loop to create three halves of the pyramids as in the previous example.	Используйте цикл $ for $ для создания трех половин пирамид, как в предыдущем примере.
c939ad66-8430-47e3-9eb5-424dbc4cd575			Za pomocą pętli $for$ stwórz tyle połówek piramid ile będzie mówiła liczba podana na wejściu.	Use the $ for $ loop to create as many halves of the pyramids as the number given on the input.	Используйте цикл $ for $, чтобы создать столько половин пирамид, сколько указано на входе.
f0efa98d-e27b-4726-8e38-12093e9bf643			Przykład użycia pętli w pętli. Ten zapis skraca liczbę użytych linijek kodu.	An example of using loop inside a loop. This entry shortens the number of lines of code used.	Пример использования циклов в цикле. Эта запись сокращает количество используемых строк кода.
9f0135e8-6e5a-490d-9c71-20b27e5c324a			Stwórz program, który stworzy piramidę z liczb. Podana liczba na wejściu określa wysokość piramidy. Daną liczbę wypisz tyle razy co jej wartość, czyli jedynkę raz, dwójkę dwa, trójkę trzy... itp.	Create a program that will create a pyramid of numbers. The number entered indicates the height of the pyramid. Write a given number as many times as its value, i.e. number one - once, number two - two times, three - three times etc.	Создайте программу, которая создаст пирамиду чисел. Введенное число указывает на высоту пирамиды. Напишите данное число столько раз, сколько его значение, то есть число один - один раз, число два - два раза, три - три раза и т. д.
e1da9e3c-7150-4653-a665-aaf579d4d545			Narysuj połowę rosnącej choinki.	Draw half of a Christmas tree.	Нарисуйте половину рождественской елки.
f16e3d66-ac80-47c4-8f78-2a391f021edc			Narysuj pełną rosnącą choinkę.	Draw a full Christmas tree.	Нарисуйте полную рождественскую елку.
d1823366-02f9-40ad-aa37-275059090a7e			Narysuj prostokąt za pomocą $*$.	Draw a rectangle with $ * $.	Нарисуйте прямоугольник с $ * $.
c6016092-38e3-4774-b6a4-837ddf58281d			Stwórz połowę choinki z słowa $pixblocks$.	Make half of the Christmas tree with the word $ pixblocks $.	Сделайте половину елки из слова $ pixblocks $.
98ef9e05-69fe-41d8-a307-462d4499a2fa			Kolejny argument pętli $for$ odpowiada za przeskok między podanym zakresem. W tym przykładzie mamy zakres $0 - 10$, lecz wykona się on co drugi raz.	The next argument of the $ for $ loop is responsible for the jump between the given range. In this example, we have a range of $0 - 10$, but it will be done every other time.	Следующий аргумент цикла $ for $ отвечает за переход между заданным диапазоном. В этом примере у нас есть диапазон от $ 0 до $ 10, но это будет сделано каждый раз.
2ce1064f-b447-4126-99cf-1e638c13466b			Napisz program, który wypisze co trzecią (zaczynając od $0$) liczbę podaną na wejściu.	Write a program that displays every third (starting from $ 0 $) number given on input.	Напишите программу, которая будет печатать каждое третье (начиная с $ 0 $) число, указанное на входе.
569c7c3a-e988-4fa2-9a1c-21e25280b41c			Odwracanie ciągu cyfr, prosty sposób by odwrócić dowolny ciąg znaków. Przypisujemy go jednocześnie do nowej zmiennej, by móc go później użyć w kodzie.	Reversing a string. It is a simple way to reverse any string of characters. We assign it to a new variable at the same time to be able to use it later in the code.	Обратная строка, это простой способ поменять местами любую строку символов. Мы назначаем его новой переменной в то же время, чтобы иметь возможность использовать его позже в коде.
b9e203cd-1eee-425b-91a7-2728cc4ff67f			Napisz program, który odwróci podane słowo na wejściu.	Write a program that will reverse the given word at the input.	Напишите программу, которая перевернет данное слово на входе.
19cbfbff-79ac-441c-a4af-95c9b6456344			Napisz program, który wypisze podwójnie dane słowo na wejściu.	Write a program that will write the word given at the input twice.	Напишите программу, которая запишет слово, данное на входе дважды.
50e086b6-548b-4f5d-bda1-aec4cd4ecba8			Napisz program, który wypisze odbicie lustrzane danych słów.	Write a program that displays a mirror image of the given words.	Напишите программу, которая отображает зеркальное отражение заданных слов.
ab4cdcf1-4e46-46f3-9aa3-473a0930ca24			Narysuj piramidę wysokości podanej na wejściu złożoną naprzemiennie z liter $a$ i $b$.	Draw a pyramid of the height given at the input consisting of the letters $ a $ and $ b $ alternately.	Нарисуйте пирамиду заданной на входе высоты, состоящую из букв $ a $ и $ b $ попеременно.
7adcc73e-771d-4871-ba3b-dc4c1b72ae38			Narysuj piramidę składającą się z liter $a$ $b$ i $c$.	Draw a pyramid consisting of the letters $ a $ $ b $ and $ c $.	Нарисуйте пирамиду, состоящую из букв $ a $ b $ и $ c $.
